domain,rows,matched_rows,match_rate,candidates_covered,mean_match_confidence,block_anchor_rate
license,48124,48000,0.9974233230820381,12000,0.9829333333333335,0.9871666666666666
address,48121,48000,0.9974855052887512,12000,0.9828125,0.9855833333333334
title,48108,48000,0.9977550511349463,12000,0.9828316666666668,0.9861666666666666
work,24131,24000,0.9945712983299491,12000,0.9903283333333334,0.94225
external,48116,48000,0.9975891595311331,12000,0.9828400000000002,0.9868333333333333
updates,24000,24000,1.0,12000,0.9827933333333335,0.81825
